Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
PINEY CREEK BND|BISMARK CV|WEST GATE BLVD,PINEY CREEK BND,WEST GATE BLVD,BISMARK CV,['2016-10-14'],Collector,F,F,F,2022.0,2019.0,2017.0,2852,1,
PINEY CREEK BND|CRETYS CV|DANDELION TRL,PINEY CREEK BND,DANDELION TRL,CRETYS CV,['2016-10-14'],Collector,D,C,C,2022.0,2019.0,2017.0,2852,1,
PINEY CREEK BND|DANDELION TRL|DAVIS LN,PINEY CREEK BND,DANDELION TRL,DAVIS LN,['2016-10-14'],Collector,B,D,D,2022.0,2019.0,2017.0,2852,1,
PINEY CREEK BND|DANDELION TRL|PEPPERGRASS CV,PINEY CREEK BND,PEPPERGRASS CV,DANDELION TRL,['2016-10-14'],Collector,B,B,B,2022.0,2019.0,2017.0,2852,1,
PINKNEY LN|10819|LONDONSHIRE LN,PINKNEY LN,LONDONSHIRE LN,10819,['2017-03-28'],Residential,C,B,B,2022.0,2019.0,2017.0,2687,1,
PINKNEY LN|LONDONSHIRE LN|ROXBURY LN,PINKNEY LN,ROXBURY LN,LONDONSHIRE LN,['2017-03-28'],Residential,A,B,B,2022.0,2019.0,2017.0,2687,1,
PINKNEY LN|REDMOND RD|ROXBURY LN,PINKNEY LN,REDMOND RD,ROXBURY LN,['2017-03-28'],Residential,B,B,B,2022.0,2019.0,2017.0,2687,1,
PINNACLE CREST LOOP|10025|KLEBERG TRL,PINNACLE CREST LOOP,KLEBERG TRL,10025,['2018-03-21'],Collector,F,D,F,2022.0,2019.0,2017.0,2329,1,
PINNACLE CREST LOOP|10100|RUBY HILLS RD,PINNACLE CREST LOOP,10100,RUBY HILLS RD,['2018-03-21'],Collector,D,C,D,2022.0,2019.0,2017.0,2329,1,
PINNACLE CREST LOOP|10120|RUBY HILLS RD,PINNACLE CREST LOOP,RUBY HILLS RD,10120,['2018-03-21'],Collector,F,B,F,2022.0,2019.0,2017.0,2329,1,
PINNACLE CREST LOOP|10200|MEMPHIS BELLE RD,PINNACLE CREST LOOP,10200,MEMPHIS BELLE RD,['2018-03-21'],Collector,D,B,B,2022.0,2019.0,2017.0,2329,1,
PINNACLE CREST LOOP|KLEBERG TRL|MEMPHIS BELLE RD,PINNACLE CREST LOOP,MEMPHIS BELLE RD,KLEBERG TRL,['2018-03-21'],Collector,F,B,C,2022.0,2019.0,2017.0,2329,1,
PINNACLE RD|ALLEN RD|SILVER HILL DR,PINNACLE RD,SILVER HILL DR,ALLEN RD,['2019-04-01'],Collector,C,D,D,2021.0,2019.0,2017.0,1953,1,
PINON VISTA DR|ALONDRA LN|CHARTER OAK LN,PINON VISTA DR,ALONDRA LN,CHARTER OAK LN,['2017-09-05'],Collector,F,F,F,2021.0,2018.0,2018.0,2526,1,
PINON VISTA DR|ALONDRA LN|SENDERO HILLS PKWY,PINON VISTA DR,SENDERO HILLS PKWY,ALONDRA LN,['2017-09-05'],Collector,F,F,F,2021.0,2018.0,2018.0,2526,1,
PINON VISTA DR|CHARTER OAK LN|CHEREMOYA DR,PINON VISTA DR,CHARTER OAK LN,CHEREMOYA DR,['2017-09-05'],Collector,C,D,D,2021.0,2018.0,2018.0,2526,1,
PINON VISTA DR|CHEREMOYA DR|PERLITA DR,PINON VISTA DR,CHEREMOYA DR,PERLITA DR,['2017-09-05'],Collector,D,C,C,2021.0,2018.0,2018.0,2526,1,
PINON VISTA DR|PERLITA DR|SENDERO HILLS PKWY,PINON VISTA DR,PERLITA DR,SENDERO HILLS PKWY,['2017-09-05'],Collector,D,F,F,2021.0,2018.0,2018.0,2526,1,
PIONEER FOREST DR|MELISSA OAKS LN|OUTWOOD MILL LN,PIONEER FOREST DR,OUTWOOD MILL LN,MELISSA OAKS LN,['2019-09-04'],Residential,B,B,B,2022.0,2019.0,2017.0,1797,1,
PIONEER FOREST DR|NARROW GLEN PKWY|OUTWOOD MILL LN,PIONEER FOREST DR,NARROW GLEN PKWY,OUTWOOD MILL LN,['2019-09-04'],Residential,B,C,C,2022.0,2019.0,2017.0,1797,1,
PIPERS FIELD DR|ALDERBROOK DR|DELLREY DR,PIPERS FIELD DR,DELLREY DR,ALDERBROOK DR,['2018-07-11'],Residential,D,C,C,2020.0,2018.0,2018.0,2217,1,
PIPERS FIELD DR|DELLREY DR|LAMPLIGHT VILLAGE AVE,PIPERS FIELD DR,LAMPLIGHT VILLAGE AVE,DELLREY DR,['2018-07-11'],Residential,B,A,A,2020.0,2018.0,2018.0,2217,1,
PIPING ROCK TRL|BRIAR RIDGE DR|CRANBROOK CV,PIPING ROCK TRL,BRIAR RIDGE DR,CRANBROOK CV,['2018-06-07'],Residential,B,B,C,2022.0,2019.0,2017.0,2251,1,
PIPING ROCK TRL|BRIAR RIDGE DR|PRINCEWOOD PASS,PIPING ROCK TRL,PRINCEWOOD PASS,BRIAR RIDGE DR,['2018-06-07'],Residential,C,B,B,2022.0,2019.0,2017.0,2251,1,
PIPING ROCK TRL|CRANBROOK CV|SLAUGHTER LN W,PIPING ROCK TRL,CRANBROOK CV,SLAUGHTER LN W,['2018-06-07'],Residential,D,C,C,2022.0,2019.0,2017.0,2251,1,
PIPING ROCK TRL|PRINCEWOOD PASS|WILLERS WAY,PIPING ROCK TRL,WILLERS WAY,PRINCEWOOD PASS,['2018-06-07'],Residential,B,B,B,2022.0,2019.0,2017.0,2251,1,
PIPING ROCK TRL|WILLERS WAY|WOODSHIRE DR,PIPING ROCK TRL,WOODSHIRE DR,WILLERS WAY,['2018-06-07'],Residential,B,B,B,2022.0,2019.0,2017.0,2251,1,
