ID,Length,Material,Diameter,Installed,Leak Occurred
17144,333.37 ft,PVC,12,32143,0
17145,14.41 ft,PVC,8,36161,0
17146,21.76 ft,PVC,6,34436,0
17147,33.31 ft,PVC,8,36892,0
1715,4 ft,Cast Iron,6,25934,0
17150,6.61 ft,Ductile Iron,6,31048,0
17151,6.36 ft,Ductile Iron,6,30682,0
17152,185.6 ft,Cast Iron,8,22647,0
17153,5 ft,Cast Iron,6,24473,0
17154,12.37 ft,PVC,6,31413,0
17155,15.03 ft,PVC,6,35431,0
17156,8 ft,PVC,6,35065,0
17157,19.2 ft,Ductile Iron,8,31048,0
17158,20.87 ft,Ductile Iron,6,30317,0
17159,5.42 ft,Reinforced Concrete Cylinder Pipe,36,36982,0
17160,12 ft,Cast Iron,6,28491,0
17161,29.41 ft,Ductile Iron,12,30317,0
17162,268.49 ft,Cast Iron,6,28126,0
17163,17.26 ft,Cast Iron,8,28126,0
17164,204.84 ft,Cast Iron,6,28491,0
17165,13.2 ft,PVC,8,31778,0
17166,1.8 ft,PVC,12,30682,0
17167,13.17 ft,PVC,8,36526,0
17168,6.49 ft,PVC,6,35998,0
1717,4 ft,Cast Iron,6,28856,0
17170,9.66 ft,Ductile Iron,6,30682,0
17172,24.57 ft,Cast Iron,6,27395,0
17173,3.81 ft,Cast Iron,12,22282,0
17176,4.25 ft,Cast Iron,6,27395,0
17177,4 ft,Cast Iron,6,29952,0
17178,34.75 ft,Cast Iron,8,28491,0
1718,160.93 ft,PVC,8,36592,0
17180,13.27 ft,PVC,8,34700,0
17181,16.56 ft,PVC,8,35796,0
17182,231.81 ft,PVC,8,30682,0
17183,7.44 ft,PVC,6,33970,0
17184,10 ft,PVC,12,30682,0
17185,10.45 ft,PVC,4,36161,0
17186,35.29 ft,PVC,8,30317,0
17187,302.32 ft,PVC,12,35796,0
17188,10.03 ft,PVC,12,37158,0
17189,11.89 ft,PVC,6,32509,0
17190,5.58 ft,Ductile Iron,12,33239,0
17191,115 ft,PVC,8,35796,0
17192,119.89 ft,PVC,8,31048,0
17193,16.18 ft,PVC,8,33604,0
17194,24.78 ft,Cast Iron,6,30682,0
17196,26.78 ft,PVC,8,33604,0
17198,1.7 ft,PVC,6,31413,0
17199,241.73 ft,Cast Iron,6,22282,0
172,5.5 ft,Cast Iron,6,24108,0
1720,187.37 ft,Ductile Iron,8,31048,0
17200,207.19 ft,Ductile Iron,8,31413,0
17201,60.22 ft,Reinforced Concrete Cylinder Pipe,18,24108,0
17202,5.31 ft,Cast Iron,6,27760,0
17203,32.08 ft,Reinforced Concrete Cylinder Pipe,18,33239,0
17206,7 ft,Cast Iron,6,27760,0
17207,7 ft,PVC,6,33604,0
17208,264.17 ft,PVC,8,33239,0
17209,17.07 ft,PVC,8,31413,0
1721,5 ft,Ductile Iron,6,30682,0
17211,10 ft,PVC,6,31413,0
17212,292.29 ft,Reinforced Concrete Cylinder Pipe,18,32143,0
17213,8.06 ft,Ductile Iron,8,31048,0
17214,5.96 ft,PVC,12,30682,0
17215,12.46 ft,PVC,8,31048,0
17216,11.67 ft,PVC,8,32143,0
17217,10.29 ft,PVC,8,36526,0
17218,7.34 ft,PVC,4,35417,0
17219,21.78 ft,PVC,8,36672,0
172194,215.5 ft,PVC,12,29952,0
1722,2.12 ft,PVC,6,36892,0
17220,244.84 ft,Reinforced Concrete Cylinder Pipe,18,32509,0
17221,15.08 ft,Cast Iron,8,28856,0
17222,50.04 ft,PVC,12,34700,0
17223,5 ft,PVC,6,36526,0
17224,235.59 ft,PVC,8,36161,0
17225,19.45 ft,PVC,8,31048,0
17226,196.44 ft,PVC,8,31048,0
17227,7 ft,PVC,6,36526,0
17229,10 ft,Ductile Iron,12,32210,0
17230,12.62 ft,Ductile Iron,6,31048,0
17231,323.73 ft,Ductile Iron,8,30682,0
17232,502.39 ft,PVC,8,34335,0
17233,41.93 ft,Ductile Iron,8,30317,0
17234,20.39 ft,PVC,6,33604,0
17235,285.36 ft,PVC,8,35796,0
17236,4 ft,PVC,6,36161,0
17237,4 ft,Cast Iron,6,27760,0
17238,33.4 ft,Ductile Iron,12,31413,0
17239,10.88 ft,PVC,8,36987,0
1724,8.69 ft,Cast Iron,6,27395,0
17240,9.55 ft,PVC,4,35431,0
17241,10.4 ft,PVC,8,36526,0
17242,31.1 ft,PVC,8,31778,0
17243,6 ft,PVC,6,35796,0
17244,4 ft,Cast Iron,6,28126,0
17245,7.88 ft,Cast Iron,6,30317,0
17247,1.41 ft,PVC,8,36892,0
17248,212.93 ft,Cast Iron,8,36364,0
17249,15.5 ft,PVC,8,35431,0
1725,23 ft,PVC,6,30682,0
17252,23.02 ft,Cast Iron,6,28856,1
17253,308.86 ft,Cast Iron,6,26665,1
17254,227.7 ft,Cast Iron,6,28491,0
17255,422.01 ft,PVC,8,35431,0
17256,27.88 ft,PVC,6,35796,0
17257,17.17 ft,PVC,4,36526,0
17258,10.3 ft,PVC,8,34700,0
17259,5.23 ft,PVC,6,32874,0
1726,7 ft,PVC,6,36161,0
17260,23.63 ft,Cast Iron,8,28491,0
17261,4 ft,PVC,6,35065,0
17262,25.25 ft,PVC,6,36526,0
17263,25.97 ft,PVC,8,33970,0
17264,357.96 ft,Cast Iron,6,26299,0
17265,1600.15 ft,Reinforced Concrete Cylinder Pipe,42,35065,0
17266,58.35 ft,PVC,4,36161,0
17267,26 ft,PVC,6,36424,0
17268,7.96 ft,PVC,8,35431,0
17269,6 ft,PVC,6,34700,0
1727,5 ft,Ductile Iron,6,31778,0
17270,247.48 ft,PVC,8,31048,0
17271,4 ft,Ductile Iron,6,31778,0
17272,15.07 ft,PVC,8,35796,0
17273,8.48 ft,PVC,8,36892,0
172739,42.77 ft,PVC,6,27030,0
17274,4.26 ft,Ductile Iron,12,31000,0
172747,12.14 ft,PVC,6,24838,0
172748,19.79 ft,PVC,6,24838,0
17275,14.55 ft,PVC,6,36892,0
172762,8.53 ft,Ductile Iron,12,29952,0
172763,4.97 ft,Ductile Iron,12,29952,0
172764,8.57 ft,Ductile Iron,12,29952,0
172765,3.69 ft,Ductile Iron,12,29952,0
172766,25 ft,PVC,6,31323,0
172767,5 ft,PVC,6,31323,0
172768,19.57 ft,Ductile Iron,12,29952,0
172769,19.9 ft,PVC,8,35431,0
172770,44.19 ft,Ductile Iron,8,32143,0
172771,195.78 ft,PVC,8,35796,0
172772,426.78 ft,Reinforced Concrete Cylinder Pipe,20,32143,0
172773,4 ft,PVC,6,35796,0
172774,40.88 ft,Ductile Iron,8,32874,0
172775,108.74 ft,PVC,8,35796,0
172776,4.4 ft,PVC,6,36526,0
172777,339.32 ft,Reinforced Concrete Cylinder Pipe,24,31413,0
172778,17.11 ft,PVC,8,35796,0
172779,120.98 ft,PVC,8,36892,0
17278,203.08 ft,Cast Iron,8,29952,0
172780,19.64 ft,PVC,6,35431,0
172781,574.36 ft,Reinforced Concrete Cylinder Pipe,18,33239,0
172782,12.31 ft,PVC,8,36161,0
172784,18.06 ft,PVC,8,35796,0
172785,40.96 ft,Ductile Iron,8,32874,0
172786,21.12 ft,PVC,8,36526,0
172787,51.01 ft,PVC,12,36526,0
172788,418.17 ft,Reinforced Concrete Cylinder Pipe,24,32143,0
172789,8 ft,PVC,6,35065,0
17279,12.47 ft,PVC,8,34700,0
172790,17.49 ft,PVC,8,37257,0
172791,298.38 ft,Reinforced Concrete Cylinder Pipe,24,27760,0
172792,417.71 ft,PVC,8,32874,0
172793,7.79 ft,PVC,6,35431,0
172794,2.06 ft,Ductile Iron,6,31000,0
172795,10 ft,PVC,12,35431,0
172796,1087.03 ft,PVC,12,33604,0
172797,46.64 ft,Ductile Iron,12,30317,0
172798,9.34 ft,PVC,6,36161,0
172799,6.15 ft,PVC,8,35065,0
172800,2.85 ft,PVC,8,33604,0
172801,18.92 ft,PVC,8,33239,0
172802,13.57 ft,PVC,2.5,35065,0
172803,12.54 ft,Ductile Iron,6,33604,0
172804,17.03 ft,PVC,3,35065,0
172805,103.29 ft,PVC,8,36526,0
172806,15.77 ft,Ductile Iron,6,35065,0
172807,2185.77 ft,Reinforced Concrete Cylinder Pipe,30,27395,0
172809,8.09 ft,Ductile Iron,6,33239,0
17281,265.2 ft,PVC,12,31534,0
172810,21.54 ft,Ductile Iron,18,32874,0
172811,5 ft,PVC,6,35065,0
172812,10.08 ft,PVC,8,36526,0
172813,19.93 ft,Ductile Iron,6,31000,0
172814,9.95 ft,PVC,6,33604,0
172815,116.08 ft,PVC,8,35065,0
172816,5.18 ft,PVC,6,36892,0
172817,92.86 ft,PVC,8,36892,0
172818,13.08 ft,PVC,6,35065,0
172819,22.08 ft,PVC,12,33604,0
17282,7.43 ft,Ductile Iron,8,31534,0
172820,224.94 ft,PVC,8,33239,0
172821,5.19 ft,PVC,6,33239,0
172822,22.34 ft,PVC,6,35796,0
172823,12.47 ft,PVC,4,36526,0
172824,45.08 ft,Ductile Iron,6,31000,0
172825,434.08 ft,Cast Iron,12,28856,0
172826,10.5 ft,Ductile Iron,12,35065,0
172827,17.6 ft,PVC,8,33239,0
172828,25.34 ft,PVC,12,37622,0
172829,360.58 ft,PVC,8,36892,0
17283,355.98 ft,Cast Iron,6,27395,0
172830,21.96 ft,PVC,8,36892,0
172831,8.53 ft,PVC,8,37257,0
172832,2.7 ft,Ductile Iron,8,33604,0
172833,2.15 ft,Ductile Iron,8,35065,0
172834,40.23 ft,Ductile Iron,8,33604,0
172835,3.83 ft,Ductile Iron,8,35065,0
172836,126.4 ft,Ductile Iron,8,33604,0
172837,2.97 ft,Ductile Iron,12,35065,0
172838,32.5 ft,PVC,8,39017,0
172839,119.96 ft,Cast Iron,8,27760,0
17284,20.97 ft,Ductile Iron,8,30317,0
172840,8.61 ft,PVC,8,39588,0
172841,4.31 ft,PVC,6,39588,0
172842,4.59 ft,PVC,6,39588,0
172843,2.57 ft,PVC,6,39588,0
172844,4.32 ft,PVC,6,39588,0
172845,4.5 ft,PVC,6,39590,0
172846,5.55 ft,Cast Iron,8,27760,0
172847,29.41 ft,PVC,6,37622,0
172848,8.5 ft,PVC,6,39536,0
172849,5.5 ft,PVC,8,39536,0
17285,5.03 ft,Ductile Iron,12,30317,0
172850,8.5 ft,PVC,8,39536,0
172851,5.5 ft,PVC,8,39536,0
172852,8.19 ft,Ductile Iron,8,35065,0
172853,8.39 ft,Ductile Iron,8,35065,0
172854,2.52 ft,PVC,6,39588,0
172855,10.02 ft,PVC,8,39588,0
172856,37.45 ft,PVC,8,39588,0
172857,3.85 ft,PVC,6,39588,0
172858,3.54 ft,PVC,8,39588,0
172859,6.55 ft,Ductile Iron,8,35065,0
17286,111.26 ft,Reinforced Concrete Cylinder Pipe,24,28126,0
172860,6.37 ft,Ductile Iron,8,35065,0
172861,39.25 ft,PVC,8,39588,0
172862,2.88 ft,PVC,6,39588,0
172863,9.51 ft,PVC,8,39588,0
172864,35.08 ft,PVC,8,39588,0
172865,3.56 ft,PVC,6,39588,0
172866,6.85 ft,PVC,8,39588,0
172867,5.57 ft,Ductile Iron,8,35065,0
172868,36.86 ft,PVC,8,39588,0
172869,3.8 ft,PVC,6,39588,0
17287,8.01 ft,Ductile Iron,4,32509,0
172870,11.35 ft,PVC,8,39588,0
172871,29.57 ft,PVC,8,39588,0
172872,3.91 ft,PVC,6,39588,0
172873,4.38 ft,Ductile Iron,12,35065,0
172874,7.03 ft,PVC,8,40315,0
172875,2.82 ft,PVC,8,40315,0
172876,3.96 ft,PVC,8,40315,0
172877,3.1 ft,PVC,12,41016,0
172878,20.79 ft,Ductile Iron,12,35065,0
172879,64.3 ft,PVC,12,41016,0
17288,11.14 ft,PVC,8,30682,0
172880,253.22 ft,PVC,8,40315,0
172881,9.14 ft,PVC,6,37622,0
172882,7.41 ft,PVC,8,41178,0
172883,307.11 ft,PVC,8,41178,0
172884,305.55 ft,PVC,8,41178,0
172885,2.32 ft,PVC,6,41178,0
172886,4.28 ft,PVC,6,41178,0
172887,5 ft,PVC,6,41178,0
172888,270.59 ft,PVC,8,41178,0
172889,8.98 ft,PVC,8,41178,0
17289,12.82 ft,PVC,8,35431,0
172890,2.57 ft,PVC,6,41178,0
172891,56.81 ft,PVC,8,41178,0
172892,7.78 ft,PVC,8,41178,0
172893,7.31 ft,PVC,8,41178,0
172894,7.72 ft,PVC,8,41178,0
172895,15.73 ft,PVC,8,41178,0
172896,3.94 ft,PVC,6,41178,0
172897,16.15 ft,PVC,8,41178,0
172898,56.63 ft,PVC,8,41178,0
172899,22.72 ft,PVC,8,41178,0
1729,54.42 ft,Reinforced Concrete Cylinder Pipe,27,36892,0
17290,4 ft,PVC,6,35796,0
172900,4.84 ft,PVC,6,41178,0
172901,740.84 ft,PVC,8,41178,0
172902,28.1 ft,PVC,12,35431,0
172903,4.8 ft,PVC,8,35065,0
172904,13.18 ft,PVC,6,35065,0
172905,19.53 ft,PVC,8,38289,0
172906,198.66 ft,PVC,8,37622,0
172907,15.54 ft,PVC,8,37622,0
172908,5.91 ft,PVC,6,41841,0
172909,24.15 ft,PVC,6,41841,0
17291,16.5 ft,PVC,8,36526,0
172910,5.63 ft,PVC,6,41841,0
172911,5.54 ft,PVC,6,41841,0
172912,3.94 ft,PVC,6,41841,0
172913,5.52 ft,PVC,6,41841,0
172914,3.93 ft,PVC,6,41841,0
172915,4.16 ft,PVC,6,41841,0
172916,8.63 ft,PVC,8,38271,0
172917,98.13 ft,Cast Iron,8,29587,0
172918,152.47 ft,PVC,8,35065,0
172919,27.85 ft,Ductile Iron,6,33604,0
17292,291.82 ft,PVC,8,33604,0
172920,4.38 ft,Cast Iron,8,27760,0
172921,64.27 ft,PVC,12,33604,0
172922,17.61 ft,Ductile Iron,8,29221,0
172923,9.3 ft,PVC,8,35431,0
172924,2.31 ft,Ductile Iron,8,32143,0
172925,80.2 ft,PVC,8,35065,0
172926,6.46 ft,Ductile Iron,8,31413,0
172927,421.34 ft,Ductile Iron,12,30317,0
172928,8.19 ft,PVC,8,35431,0
172929,5 ft,Ductile Iron,12,30317,0
17293,15.42 ft,Ductile Iron,8,31048,0
172930,7.52 ft,PVC,6,36892,0
172931,13.76 ft,PVC,8,36892,0
172932,18.21 ft,PVC,6,37622,0
172933,20.74 ft,PVC,8,37622,0
172934,50 ft,PVC,8,37622,0
172935,18.38 ft,PVC,8,37622,0
172936,12.17 ft,PVC,8,37622,0
172937,11.79 ft,PVC,6,37622,0
172938,57.1 ft,PVC,8,36526,0
172939,14.28 ft,PVC,8,38030,0
17294,257.67 ft,PVC,8,35431,0
172940,137.48 ft,PVC,8,35065,0
172941,553.11 ft,Cast Iron,6,25204,0
172942,122 ft,PVC,12,36161,0
172943,105.07 ft,PVC,8,33239,0
172944,2.4 ft,PVC,8,37257,0
172945,477.84 ft,PVC,8,37257,0
172946,9.32 ft,PVC,8,36526,0
172947,126.89 ft,PVC,8,36526,0
172948,7.33 ft,PVC,8,37257,0
172949,37.35 ft,Ductile Iron,8,33239,0
17295,17.02 ft,Ductile Iron,8,31048,0
172950,37.44 ft,PVC,12,30682,0
172951,251.58 ft,PVC,8,35431,0
172952,12.48 ft,PVC,6,35431,0
172953,108.472081 ft,Ductile Iron,12,35065,0
172954,3.67 ft,Ductile Iron,12,30682,0
172955,3.18 ft,Ductile Iron,6,32143,0
172956,13.05 ft,Reinforced Concrete Cylinder Pipe,20,29952,0
172957,17.2 ft,PVC,6,33239,0
172958,26.04 ft,PVC,8,35065,0
172959,91.18 ft,PVC,8,35796,0
172960,239.44 ft,PVC,12,33604,0
172961,5 ft,PVC,6,33604,0
172962,28.91 ft,PVC,8,32509,0
172963,7.53 ft,Ductile Iron,6,33604,0
172964,37.08 ft,PVC,8,35796,0
172965,333.34 ft,Cast Iron,6,25204,0
172966,38.38 ft,Cast Iron,8,28856,0
172967,137.56 ft,PVC,8,35796,0
172968,22.81 ft,PVC,3,35065,0
172969,11.54 ft,PVC,6,35796,0
17297,93.48 ft,Ductile Iron,12,32143,0
172970,15.19 ft,PVC,6,35065,0
172971,9.12 ft,PVC,8,36526,0
172972,11.13 ft,PVC,6,36526,0
172973,197.71 ft,Reinforced Concrete Cylinder Pipe,18,33239,0
172974,17.37 ft,PVC,3,35065,0
172975,3.32 ft,PVC,12,37622,0
172976,11.56 ft,PVC,6,37622,0
172977,20.52 ft,PVC,8,37622,0
172978,428.94 ft,PVC,8,37257,0
172979,15 ft,PVC,6,37622,0
17298,322 ft,Cast Iron,8,26299,0
172980,9.26 ft,PVC,6,37622,0
172981,318.46 ft,PVC,8,35065,0
172982,2.98 ft,PVC,6,41603,0
172983,1.87 ft,PVC,6,41603,0
172984,10 ft,PVC,8,38289,0
172985,265.36 ft,PVC,8,33239,0
172986,16.49 ft,PVC,8,35796,0
172987,13.91 ft,PVC,8,35431,0
172988,17.55 ft,PVC,8,36526,0
172989,14.45 ft,PVC,6,33239,0
17299,15.53 ft,Ductile Iron,6,28491,0
172990,21.14 ft,PVC,8,36161,0
172991,25 ft,PVC,6,35796,0
172992,2.35 ft,Ductile Iron,6,32143,0
172993,22.26 ft,PVC,6,35796,0
172994,66.06 ft,PVC,8,35796,0
172995,10.51 ft,PVC,3,35065,0
172996,35 ft,Ductile Iron,6,31000,0
172997,11.35 ft,PVC,6,37257,0
172998,288.95 ft,PVC,8,37257,0
172999,193.7 ft,PVC,8,35796,0
1730,38.65 ft,Ductile Iron,4,31048,0
17300,301.77 ft,Ductile Iron,12,30317,0
173000,12.04 ft,PVC,6,37622,0
173001,343.65 ft,PVC,12,33604,0
173002,145.04 ft,PVC,8,37622,0
173003,17.29 ft,PVC,8,37257,0
173004,5 ft,PVC,8,37257,0
173005,6.93 ft,PVC,8,37257,0
173006,21.74 ft,Reinforced Concrete Cylinder Pipe,42,37622,0
173007,8.43 ft,PVC,6,37622,0
173008,80.18 ft,PVC,8,33239,0
173009,14.17 ft,PVC,8,36161,0
17301,16.96 ft,Cast Iron,6,30317,0
173010,137.88 ft,PVC,8,36161,0
173011,4 ft,Ductile Iron,6,32874,0
173012,36.1 ft,PVC,8,35796,0
173013,291.58 ft,Ductile Iron,6,30682,0
173014,8.08 ft,Ductile Iron,8,33239,0
173015,13.1 ft,PVC,8,33604,0
173016,12.83 ft,Ductile Iron,8,33239,0
173017,1.71 ft,Ductile Iron,6,33604,0
173018,151.6 ft,PVC,8,36161,0
173019,22.49 ft,Ductile Iron,18,32874,0
17302,25.24 ft,PVC,6,33897,0
173020,41.88 ft,PVC,8,35065,0
173021,15.4 ft,PVC,8,35065,0
173022,267.59 ft,PVC,8,36892,0
173023,39.33 ft,Ductile Iron,6,31000,0
173024,14.28 ft,PVC,8,35796,0
173025,69.1 ft,Cast Iron,14,20090,0
173026,10.26 ft,PVC,6,36161,0
173027,14.43 ft,PVC,8,35431,0
173028,20.22 ft,PVC,8,36892,0
173029,39.63 ft,Reinforced Concrete Cylinder Pipe,18,33239,0
17303,4.79 ft,PVC,8,31778,0
173030,14.99 ft,PVC,12,35431,0
173031,13.19 ft,PVC,8,36526,0
173032,41.34 ft,PVC,12,33604,0
173033,2.08 ft,PVC,12,33604,0
173034,14.66 ft,PVC,8,36161,0
173035,8.35 ft,PVC,8,31413,0
173036,333.29 ft,Ductile Iron,18,32874,0
173037,84.68 ft,PVC,8,35065,0
173038,17.68 ft,PVC,8,33239,0
173039,96.93 ft,PVC,8,36526,0
17304,14.79 ft,Ductile Iron,8,28856,0
173040,10.88 ft,PVC,8,35065,0
173041,12.5 ft,PVC,12,35796,0
173042,37 ft,PVC,8,34700,0
173043,5.4 ft,Ductile Iron,6,33239,0
173044,14.4 ft,PVC,2.5,35796,0
173045,9.5 ft,Ductile Iron,6,35065,0
173046,15.79 ft,Ductile Iron,8,32143,0
173047,168.99 ft,Reinforced Concrete Cylinder Pipe,24,32143,0
173048,239.22 ft,PVC,8,35065,0
173049,13.99 ft,PVC,2.5,35065,0
17305,26.44 ft,PVC,8,35796,0
173050,180.38 ft,PVC,8,37257,0
173051,3.65 ft,PVC,8,37257,0
173052,4.43 ft,Cast Iron,8,28856,0
173053,10.33 ft,PVC,6,35431,0
173054,34.28 ft,Ductile Iron,8,29221,0
173055,4.85 ft,PVC,8,35065,0
173056,22.15 ft,PVC,6,35796,0
173057,70.69 ft,Ductile Iron,8,31413,0
173058,5.8 ft,PVC,6,36161,0
173059,10.12 ft,PVC,3,35796,0
17306,7.57 ft,PVC,6,35263,0
173060,29.4 ft,Ductile Iron,12,30317,0
173061,19.97 ft,Cast Iron,8,29221,0
173062,4.01 ft,PVC,6,36075,0
173063,4.82 ft,PVC,6,36075,0
173064,15.06 ft,Ductile Iron,6,33604,0
173065,64.6 ft,Cast Iron,6,28856,0
173066,26.47 ft,PVC,8,35431,0
173067,3.47 ft,Ductile Iron,8,35065,0
173068,2.57 ft,Ductile Iron,8,35065,0
173069,20.76 ft,Ductile Iron,8,33604,0
17307,10.52 ft,PVC,8,36526,0
173070,259.6 ft,Ductile Iron,12,35065,0
173071,261.66 ft,Ductile Iron,12,35065,0
173072,292.84 ft,Ductile Iron,12,35065,0
173073,298.38 ft,Ductile Iron,12,35065,0
173074,7.27 ft,Ductile Iron,8,35065,0
173075,204.02 ft,PVC,8,33239,0
173076,291.4 ft,PVC,8,41841,0
173077,242.03 ft,PVC,8,41841,0
173078,234.49 ft,PVC,8,41841,0
173079,105.38 ft,PVC,8,41841,0
17308,23.82 ft,Ductile Iron,12,30317,0
173080,186.17 ft,PVC,8,41841,0
173081,114.84 ft,PVC,8,41841,0
173082,4.14 ft,Ductile Iron,12,35065,0
173083,35.13 ft,Ductile Iron,12,35065,0
173084,8.24 ft,Ductile Iron,8,35065,0
173085,11.63 ft,PVC,8,41841,0
173086,46.24 ft,PVC,8,41841,0
173087,8.73 ft,PVC,8,41841,0
173088,45.3 ft,PVC,8,41841,0
173089,5.58 ft,PVC,8,41841,0
17309,12.11 ft,PVC,6,31048,0
173090,88.46 ft,PVC,8,41841,0
173091,45.27 ft,PVC,8,41841,0
173092,4.79 ft,PVC,8,41841,0
173093,13.29 ft,PVC,8,41841,0
173094,248.92 ft,PVC,8,41830,0
173095,511.21 ft,PVC,8,41830,0
173096,477.01 ft,PVC,8,41830,0
173097,246.86 ft,PVC,8,41830,0
173098,410.97 ft,PVC,8,41830,0
173099,13.18 ft,PVC,8,41830,0
1731,303.55 ft,PVC,8,36161,0
17310,10.96 ft,PVC,8,35921,0
173100,8.26 ft,PVC,8,41830,0
173101,12.8 ft,PVC,8,41830,0
173102,14.2 ft,PVC,8,41830,0
173103,56.91 ft,PVC,8,41830,0
173104,12.64 ft,PVC,8,41830,0
173105,11.31 ft,PVC,8,41830,0
173106,362.52 ft,PVC,8,41830,0
173107,464.65 ft,PVC,8,41830,0
173108,11.87 ft,PVC,8,41830,0
173109,423.08 ft,PVC,8,41830,0
17311,10.68 ft,Ductile Iron,8,30682,0
173110,10.35 ft,PVC,8,41830,0
173111,11.14 ft,PVC,8,41830,0
173112,5.13 ft,PVC,8,41841,0
173113,224.7 ft,PVC,8,41841,0
173114,5.34 ft,PVC,8,41841,0
173115,197.9 ft,PVC,8,41841,0
173117,8 ft,PVC,3,35796,0
173118,192.19 ft,PVC,12,36526,0
173119,8 ft,PVC,6,35065,0
17312,149.69 ft,Ductile Iron,8,28491,0
173120,1694.55 ft,Asbestos Cement,4,23743,0
173121,15.32 ft,PVC,12,35796,0
173122,104.07 ft,Ductile Iron,6,31000,0
173123,232.48 ft,PVC,8,33239,0
173124,10.57 ft,PVC,2.5,35065,0
173125,13.12 ft,PVC,8,36526,0
173126,2.03 ft,Ductile Iron,8,32143,0
173127,14.44 ft,PVC,8,35065,0
173128,10.56 ft,PVC,8,36161,0
173129,24.74 ft,PVC,8,36161,0
17313,334.05 ft,Cast Iron,8,29221,0
173130,13.77 ft,PVC,6,35431,0
173131,2.63 ft,PVC,8,33239,0
173132,11.66 ft,PVC,6,41830,0
173133,7.61 ft,PVC,6,41830,0
173134,7.12 ft,PVC,6,41830,0
173135,7.94 ft,PVC,6,41830,0
173136,7.36 ft,PVC,6,41830,0
173137,7.15 ft,PVC,6,41830,0
173138,6.83 ft,PVC,6,41830,0
173139,6.52 ft,PVC,6,41830,0
17314,78.17 ft,Reinforced Concrete Cylinder Pipe,18,29952,0
173140,7.33 ft,PVC,6,41830,0
173141,8.24 ft,PVC,6,41830,0
173142,5.28 ft,PVC,12,35431,0
173143,17.87 ft,PVC,8,31413,0
173144,683.94 ft,Cast Iron,8,27760,0
173145,16.65 ft,Cast Iron,8,27760,0
173146,4 ft,Ductile Iron,6,32143,0
173147,53.66 ft,PVC,8,31413,0
173148,15.74 ft,PVC,12,35431,0
173149,12.13 ft,PVC,8,36892,0
17315,21.03 ft,PVC,4,35431,0
173150,145.15 ft,PVC,8,36892,0
173151,8.95 ft,Ductile Iron,6,33604,0
173152,345.1 ft,PVC,8,35065,0
173153,13.27 ft,PVC,8,35065,0
173154,538.65 ft,Reinforced Concrete Cylinder Pipe,18,35065,0
173155,24.31 ft,PVC,8,35796,0
173156,4.73 ft,PVC,8,34700,0
173157,251.57 ft,PVC,8,36161,0
173158,15.64 ft,Cast Iron,8,27395,0
173159,18 ft,PVC,6,36526,0
17316,108 ft,Ductile Iron,8,32143,0
173160,8.39 ft,PVC,8,35431,0
173161,186.12 ft,PVC,8,35431,0
173162,13.2 ft,PVC,8,35431,0
173163,10.19 ft,PVC,6,36526,0
173164,24.5 ft,PVC,6,33239,0
173165,10.16 ft,PVC,8,35431,0
173166,201.31 ft,PVC,8,36161,0
173167,81.61 ft,Cast Iron,8,27760,0
173168,438.89 ft,Reinforced Concrete Cylinder Pipe,18,34700,0
173169,5.28 ft,Ductile Iron,8,32143,0
17317,6 ft,Ductile Iron,6,31220,0
173170,11.9 ft,PVC,8,35431,0
173171,17.19 ft,PVC,6,32509,0
173172,49.01 ft,PVC,12,35431,0
173173,4 ft,Cast Iron,6,25204,0
173174,10.93 ft,Cast Iron,6,27030,0
173175,88.25 ft,PVC,6,35065,0
173176,120.04 ft,Cast Iron,8,27760,0
173177,484.98 ft,Cast Iron,14,20090,0
173178,6.6 ft,PVC,6,33604,0
173179,16.83 ft,PVC,8,35431,0
17318,44.5 ft,Ductile Iron,6,31220,0
173181,14.29 ft,PVC,3,35065,0
173182,28.67 ft,PVC,6,33239,0
173183,12.49 ft,PVC,8,32874,0
173184,3.26 ft,Ductile Iron,12,30682,0
173185,5.32 ft,PVC,8,35065,0
173186,7.55 ft,PVC,6,33604,0
173187,21.28 ft,Ductile Iron,12,30682,0
173188,31.16 ft,PVC,6,34700,0
173189,10.7 ft,Ductile Iron,8,35065,0
17319,10.02 ft,PVC,8,35431,0
173190,32.31 ft,PVC,8,35796,0
173191,254.5 ft,PVC,8,36526,0
173192,10.16 ft,PVC,6,37257,0
173193,7.7 ft,PVC,6,36161,0
173194,3.18 ft,Ductile Iron,12,35065,0
173195,296.51 ft,Ductile Iron,12,35065,0
173196,297.14 ft,Ductile Iron,12,35065,0
173197,13.38 ft,Ductile Iron,8,35065,0
173198,9.37 ft,Ductile Iron,8,35065,0
173199,1.25 ft,PVC,6,39588,0
1732,23.44 ft,Ductile Iron,8,30682,0
17320,14.27 ft,PVC,6,36508,0
173200,1.44 ft,PVC,6,39588,0
173201,6.21 ft,PVC,8,39588,0
173202,1.54 ft,PVC,6,39588,0
173203,1.23 ft,Ductile Iron,8,35065,0
173204,295.74 ft,Ductile Iron,12,35065,0
173205,1.86 ft,Ductile Iron,8,35065,0
173206,10 ft,PVC,6,36526,0
173207,55.25 ft,PVC,8,35796,0
173208,16.34 ft,PVC,6,36526,0
173209,16.6 ft,PVC,8,35065,0
17321,13.93 ft,PVC,8,35431,0
173210,4.83 ft,PVC,4,33604,0
173211,15.42 ft,PVC,8,36526,0
