Segment ID,Street Name,From Limit Street,To Limit Street,Functional Class,Minimum Address in Range,Maximum Address in Range,Segment Width,Segment Length,Lane Miles,Grade,Inspection ID
2008149,SPICEWOOD MESA,KABAR TRL,HORSE MOUNTAIN CV,Collector,9905,10000,38,575,0.41,A,2020 Data
2007684,BARBROOK DR,COMISO PALA PATH,LAVERA DR,Residential,9906,9941,40,591,0.45,A,2020 Data
3261617,BRODIE LN,9906,9928,Arterial,9906,9928,28,692,0.37,C,2022 Data
3261620,BRODIE LN,9907,9929,Arterial,9907,9929,28,697,0.37,D,2022 Data
2012514,CHILDRESS DR,COTTLE DR,OCHILTREE DR,Collector,9907,9915,37,321,0.22,F,2020 Data
2027739,CURLEW DR,SLAUGHTER LN W,HOWELLWOOD WAY,Residential,9910,9919,29,191,0.09,F,2022 Data
3376181,CINNABAR TRL,9911,BOULDER LN,Collector,9911,9915,24.1,110,0.05,D,2020 Data
3376171,CINNABAR TRL,9912,BOULDER LN,Collector,9912,9918,24.1,111,0.05,D,2020 Data
3194310,WOODLAND VILLAGE DR,9912,10027,Collector,9912,10027,41,886,0.69,C,2020 Data
2012513,CHILDRESS DR,OCHILTREE DR,FLOYD DR,Collector,9917,9919,37,157,0.11,A,2020 Data
2012510,CHILDRESS DR,FLOYD DR,HANSFORD DR,Collector,9920,9930,37,196,0.14,D,2020 Data
3272893,LAKE CREEK PKWY,9926,9964,Collector,9926,9964,33,437,0.27,A,2020 Data
3272895,LAKE CREEK PKWY,9927,9965,Collector,9927,9965,33,432,0.27,C,2020 Data
2037837,MORGAN CREEK DR,SPANISH WELLS DR,BRAMHALL DR,Residential,9929,9941,37,295,0.21,C,2020 Data
2010441,QUAIL BLVD,BIRD CREEK DR,FIELDWOOD DR,Residential,9935,9940,41,176,0.14,B,2020 Data
2010499,QUAIL BLVD,FIELDWOOD DR,MEARNS MEADOW BLVD,Residential,9937,9972,41,724,0.56,A,2020 Data
3261820,1ST ST S,WYE OAK DR,ISLAND OAK DR,Arterial,9938,10124,28,1383,0.73,C,2022 Data
3261827,1ST ST S,TAFT LN,WYE OAK DR,Arterial,9939,10125,28,1387,0.74,B,2022 Data
2012526,FAYLIN DR,MANFORD HILL DR,BARRINGTON DR,Residential,9950,9961,37,192,0.13,D,2020 Data
3350040,ALY MAY DR,TILLERFIELD TRL,10004,Residential,10000,10005,28,44,0.02,A,2022 Data
2044912,ANAHUAC TRL,PETRIFIED FOREST DR,NATIONAL PARK BLVD,Collector,10000,10029,37,478,0.33,C,2022 Data
2035001,AUSTRAL CV,AUSTRAL LOOP,10029,Residential,10000,10029,24,496,0.23,C,2022 Data
2007639,BANDITTI DR,SPICEWOOD CLUB DR,PLUMEWOOD DR,Residential,10000,10015,27,318,0.16,D,2020 Data
5102230,BADEN LN,GROW LN,LANGDALE LN,Residential,10000,10014,28,373,0.18,A,2020 Data
2007636,BARBROOK DR,LAVERA DR,EMBER GLEN DR,Residential,10000,10006,40,186,0.14,A,2020 Data
2031953,BARRINGTON CV,10000,BARRINGTON DR,Residential,10000,10015,27,321,0.16,D,2020 Data
2012895,BIG VIEW DR,DRIP ROCK LN,CHINA GARDEN CV,Residential,10000,10007,37,385,0.27,A,2021 Data
3365955,BILBROOK PL,10000,10206,Collector,10000,10206,42,1107,0.88,C,2022 Data
2035195,BRANTLEY BND,10001,ALCOTT LN,Residential,10000,10113,29,542,0.3,F,2022 Data
2007901,BRIGHTLING LN,PATRICE DR,ULLSWATER LN,Residential,10000,10004,27,334,0.17,A,2020 Data
2026125,BRODIE LN,SLAUGHTER LN W,GRAYBUCK RD,Arterial,10000,10009,28,482,0.24,F,2022 Data
2031726,BROWNIE DR,10000,DIAMONDBACK TRL,Residential,10000,10116,41,773,0.6,A,2020 Data
2012461,CAPITAL OF TEXAS HWY N,STONELAKE BLVD,MO-PAC SVC RD SB  N,Arterial,10000,10100,66,1453,1.77,B,2020 Data
2045252,CHANNEL ISLANDS DR,DRY TORTUGAS TRL,MINUTE MAN PASS,Residential,10000,10033,27,497,0.26,B,2022 Data
2038342,CASSANDRA DR,THATCHER DR,10011,Residential,10000,10011,27,317,0.16,C,2020 Data
2012508,CHILDRESS DR,HANSFORD DR,CHISWICK DR,Collector,10000,10005,37,245,0.17,F,2020 Data
2032093,CHINA GARDEN CV,BIG VIEW DR,10015,Residential,10000,10015,25,146,0.09,F,2021 Data
2039081,CHESTER LN,CHESTER CV,TREE BEND DR,Residential,10000,10120,27,940,0.48,A,2020 Data
2032146,CORMORANT CV,BIG VIEW DR,10013,Residential,10000,10013,25,191,0.09,D,2021 Data
2045243,CRATER LAKE PASS,DRY TORTUGAS TRL,NATIONAL PARK BLVD,Residential,10000,10013,27,230,0.12,C,2022 Data
2035657,DARK STAR TER,10000,CHESTNUT RIDGE RD,Residential,10000,10038,27.1,581,0.3,C,2020 Data
2046433,ECHO HILLS CT,10000,ECHO HILLS DR,Residential,10000,10013,27,172,0.09,D,2020 Data
3426499,DOUBLE EAGLE PASS,DINK PEARSON LN,PEARSON BROTHERS DR,Collector,10000,10021,37,358,0.25,B,2020 Data
2010598,DERRINGER TRL,GARRETT RUN E,ANNIE OAKLEY TRL,Residential,10000,10021,27,483,0.25,B,2020 Data
2008207,DIANELLA LN,YAUPON DR,10012,Residential,10000,10012,27,322,0.16,B,2020 Data
2012525,FAYLIN DR,BARRINGTON DR,WERNER HILL DR,Residential,10000,10049,37,228,0.16,F,2020 Data
2027132,ESTANCIA LN,AUSTRAL LOOP,VIAMONTE LN,Residential,10000,10009,27,318,0.16,B,2022 Data
5062702,EPIC KNOLL DR,ARBOR HILL LN,MATTHEW ST,Residential,10000,10013,30,146,0.08,D,2022 Data
2039921,FLOYD DR,CHILDRESS DR,WARRINGTON DR,Residential,10000,10116,27,747,0.38,C,2020 Data
5062710,FEBO WAY,LITTLE THEATER BND,10009,Residential,10000,10009,30,151,0.09,F,2022 Data
2007802,GLENCARRIE LN,PICKFAIR DR,HOLME LACEY LN,Residential,10000,10118,27,851,0.44,A,2020 Data
5117658,GERTRUDIS LOOP,OLD LOCKHART RD,DEER CHASE TRL,Residential,10000,10007,30,226,0.13,C,2022 Data
2007965,GRAND OAK DR,TREE BEND DR,ROLLING OAKS TRL,Residential,10000,10013,27.1,246,0.13,A,2020 Data
2038405,GREAT HILLS TRL,RESEARCH BLVD SVC RD NB,STONELAKE BLVD,Arterial,10000,10082,31,2076,1.2,B,2020 Data
2048587,GRIZZLY OAK DR,CUL DE SAC,ANGEL OAK STREET,Residential,10000,10013,27,140,0.07,C,2022 Data
3194307,HIDDEN MEADOW DR,10000,10005,Collector,10000,10005,27,179,0.09,D,2020 Data
2012506,HAMPSHIRE DR,CHISWICK DR,CHILDRESS DR,Residential,10000,10017,27,364,0.19,B,2020 Data
2013035,INSHORE DR,BIG VIEW DR,INSHORE CV,Residential,10000,10110,25,1074,0.51,B,2021 Data
2044914,ISLE ROYALE WAY,PETRIFIED FOREST DR,NATIONAL PARK BLVD,Residential,10000,10033,27,429,0.22,C,2022 Data
3426517,IVALENES HOPE DR,DOUBLE EAGLE PASS,FAITH AND TRUST C,Residential,10000,10017,27,340,0.17,B,2020 Data
2028148,JUPITER HILLS DR,WILD DUNES DR,PINEHURST DR,Residential,10000,10115,27.1,846,0.43,A,2022 Data
3272897,LAKE CREEK PKWY,10000,10014,Collector,10000,10014,33,579,0.36,A,2020 Data
5102909,LAKELINE MALL DR,RUTLEDGE SPUR,LYNDHURST ST,Collector,10000,10236,44,1492,1.24,C,2020 Data
2029964,LAKELINE BLVD,PARMER LN W,10043,Collector,10000,10349,37,6168,4.32,B,2020 Data
2003459,LACHLAN DR,CALAVERAS DR,GALENA DR,Residential,10000,10119,28,869,0.46,B,2020 Data
2047203,LINDSHIRE LN,JADEWOOD CT,HUNNICUT CT,Residential,10000,10009,27.1,323,0.17,C,2022 Data
2047977,LISI ANNE DR,BROADBAY DR,RIAS WAY,Residential,10000,10041,27,728,0.37,A,2020 Data
2044194,LOXLEY LN,BANDON DR,PRESTANCIA DR,Collector,10000,10033,31,583,0.34,A,2020 Data
2003480,MAJORCA DR,CALAVERAS DR,VALONA DR,Residential,10000,10129,28,760,0.4,C,2020 Data
2039538,MC KALLA PL,RUTLAND DR,10423,Collector,10000,10423,22,1511,0.63,D,2020 Data
2039469,MC NEIL DR,10000,F M 2222 RD,Collector,10000,10034,24,767,0.35,B,2020 Data
2044915,MOUNT RAINIER DR,PETRIFIED FOREST DR,NATIONAL PARK BLVD,Residential,10000,10033,27,469,0.24,A,2022 Data
2010325,MOUNTAIN QUAIL RD,OAK HOLLOW DR,MEARNS MEADOW BLVD,Collector,10000,10017,37,354,0.25,C,2020 Data
3270150,METRIC BLVD,10000,10004,Arterial,10000,10004,27,538,0.28,F,2020 Data
2037836,MORGAN CREEK DR,BRAMHALL DR,BELFIN DR,Collector,10000,10015,37,390,0.27,B,2020 Data
2029949,MIRAGE CV,CALAVERAS DR,10029,Residential,10000,10030,28,471,0.25,C,2020 Data
2010326,OAK HOLLOW DR,MOUNTAIN QUAIL RD,OAK RUN DR,Residential,10000,10007,27,280,0.14,C,2020 Data
2003797,PARLIAMENT HOUSE RD,COWDRAY PARK,WAVERLY CT,Collector,10000,10003,27,189,0.1,B,2020 Data
2047972,PALMBROOK DR,ALONG CREEK CV,LISI ANNE DR,Residential,10000,10131,27,1176,0.6,A,2020 Data
2039053,PICKFAIR DR,ULLSWATER LN,SPICEWOOD PKWY,Collector,10000,10114,41,738,0.57,A,2020 Data
3426502,PAULINES WAY,PEARSON BROTHERS DR,DINK PEARSON LN,Residential,10000,10020,27,301,0.15,B,2020 Data
5054811,PINNACLE CREST LOOP,KLEBERG TRL,10025,Collector,10000,10032,28,413,0.22,F,2022 Data
2039658,QUAIL HUTCH DR,LEDGEWOOD DR,QUAIL VALLEY BLVD,Residential,10000,10120,27,938,0.48,C,2020 Data
2010296,QUAIL VALLEY BLVD,RUTLAND DR,OAK HOLLOW CIR,Collector,10000,10103,41,410,0.46,D,2020 Data
2032083,PLANTERS WOODS DR,10001,SCULL CREEK DR,Residential,10000,10049,25,562,0.27,B,2021 Data
2026004,ROCKING HORSE RD,SLAUGHTER LN W,HACKAMORE DR,Residential,10000,10107,22,1011,0.41,C,2022 Data
2046430,ROYAL NEW KENT DR,PRESTANCIA DR,ECHO HILLS DR,Residential,10000,10021,27,461,0.24,A,2020 Data
2010247,RUTLAND VILLAGE EAST,RUTLAND DR,RUTLAND VILLAGE WEST,Residential,10000,10111,27,389,0.2,A,2020 Data
2012874,SCULL CREEK DR,PLANTERS WOODS DR,ANKARA CT,Residential,10000,10009,25,252,0.12,B,2021 Data
2028150,SHINNECOCK HILLS DR,WILD DUNES DR,PINEHURST DR,Residential,10000,10205,27.1,1083,0.56,B,2022 Data
5102832,STAKED PLAINS DR,10000,10024,Residential,10000,10024,28,388,0.21,A,2020 Data
2047648,SPRUCE CANYON DR,F M 1826,VIA GRANDE DR,Collector,10000,10129,37,1030,0.71,A,2022 Data
2031104,SWAN VALLEY LN,10000,YAUPON DR,Residential,10000,10023,27,289,0.15,C,2020 Data
2032140,TIDELAND CV,BIG VIEW DR,10009,Residential,10000,10009,25,167,0.08,D,2021 Data
2007963,TREE BEND CV,CHESTER LN,TREE BEND DR,Residential,10000,10013,27,252,0.13,B,2020 Data
2036325,VALDERRAMA DR,VALDERRAMA CT,WHISTLING STRAITS DR,Residential,10000,10017,27,324,0.17,A,2020 Data
2003469,VALONA DR,CALAVERAS DR,MAJORCA DR,Residential,10000,10040,28,634,0.34,B,2020 Data
2007882,ULLSWATER LN,ULLSWATER CV,BRIGHTLING LN,Residential,10000,10019,27,415,0.21,A,2020 Data
2037374,WHITLEY BAY DR,PRESTANCIA DR,ECHO HILLS DR,Residential,10000,10025,27,467,0.24,A,2020 Data
2035301,WILD DUNES DR,10001,SHINNECOCK HILLS DR,Residential,10000,10007,27.1,120,0.06,D,2022 Data
3350048,WADING POOL PATH,TILLERFIELD TRL,MIDDLEFIELD CT,Residential,10000,10025,28,283,0.15,B,2022 Data
2012515,WOODSTOCK DR,WOODHAVEN DR,WARRINGTON DR,Residential,10000,10117,27,725,0.37,C,2020 Data
2045248,WIND CAVE TRL,DRY TORTUGAS TRL,VOYAGEURS LN,Residential,10000,10019,27,294,0.15,A,2022 Data
2042046,WOLFTRAP DR,SLAUGHTER LN W,SAWMILL DR,Collector,10000,10126,41,1254,0.95,A,2022 Data
2039929,WOODHAVEN DR,WOODSTOCK DR,WARRINGTON DR,Residential,10000,10121,27,909,0.46,C,2020 Data
2038437,CAPITAL OF TEXAS HWY N,STONELAKE BLVD,MO-PAC SVC RD SB  N,Arterial,10001,10101,66,1437,1.76,A,2020 Data
2012349,GREAT HILLS TRL,RESEARCH BLVD SVC RD NB,STONELAKE BLVD,Arterial,10001,10083,31,2080,1.2,B,2020 Data
3272899,LAKE CREEK PKWY,10001,10015,Collector,10001,10015,33,612,0.38,B,2020 Data
2044934,MC NEIL DR,FM 2222,10035,Collector,10001,10035,24,752,0.34,B,2020 Data
3270153,METRIC BLVD,10001,10005,Arterial,10001,10005,21.1,520,0.21,C,2020 Data
2008123,SPICEWOOD MESA,HORSE MOUNTAIN CV,DEL CARMEN CV,Collector,10001,10006,38,247,0.18,A,2020 Data
5102830,STAKED PLAINS DR,10001,10025,Residential,10001,10025,28,392,0.21,A,2020 Data
2030791,BLUE MARTIN DR,WOODLAND VILLAGE DR,10014,Residential,10002,10015,27,252,0.13,D,2020 Data
2007593,BRANDYWINE CIR,RICHELIEU RD,SPICEWOOD CLUB DR,Residential,10004,10021,27,372,0.19,C,2020 Data
2012507,CHILDRESS DR,CHISWICK DR,WARRINGTON DR,Collector,10004,10013,37,298,0.21,C,2020 Data
5102219,LAMPTON LN,10004,ARBORSIDE DR,Residential,10004,10009,28,157,0.08,F,2020 Data
2003787,PARLIAMENT HOUSE RD,WAVERLY CT,10007,Collector,10004,10008,27,179,0.09,C,2020 Data
2039047,BRIGHTLING LN,ULLSWATER LN,PICKFAIR DR,Residential,10005,10119,27,803,0.41,A,2020 Data
2008117,SPICEWOOD MESA,DEL CARMEN CV,DEL MESA LN,Collector,10005,10022,38,294,0.21,A,2020 Data
5058324,ALY MAY DR,10009,MEADOWSOUTH LN,Residential,10006,10053,28,492,0.26,A,2022 Data
3194308,HIDDEN MEADOW DR,10006,10107,Collector,10006,10107,27,1543,0.79,B,2020 Data
2030906,BARBROOK DR,EMBER GLEN DR,SAVANNAH RIDGE DR,Residential,10008,10025,27,300,0.15,B,2020 Data
2012885,BIG VIEW DR,CHINA GARDEN CV,PLANTERS WOODS DR,Residential,10008,10021,37,381,0.27,A,2021 Data
5117662,GERTRUDIS LOOP,DEER CHASE TRL,CRESCENDO LN,Residential,10008,10129,30,934,0.53,C,2022 Data
2010302,OAK HOLLOW DR,OAK RUN DR,CHUKAR CIR,Residential,10008,10105,27,276,0.14,D,2020 Data
2028124,WILD DUNES DR,SHINNECOCK HILLS DR,JUPITER HILLS DR,Residential,10008,10015,27.1,343,0.18,A,2022 Data
2026126,BRODIE LN,GRAYBUCK RD,DOBBIN DR,Arterial,10010,10101,28,520,0.28,C,2022 Data
2035002,ESTANCIA LN,VIAMONTE LN,10035,Residential,10010,10035,27,421,0.22,B,2022 Data
2027750,LINDSHIRE LN,HUNNICUT CT,ROCHELLE DR,Collector,10010,10110,43,471,0.38,D,2022 Data
2012865,SCULL CREEK DR,ANKARA CT,WISHEK CV,Residential,10010,10059,25,565,0.27,A,2021 Data
2008217,DIANELLA LN,10014,CRINIUM CV,Residential,10013,10029,27,253,0.13,B,2020 Data
2012504,CHILDRESS DR,WARRINGTON DR,BLUFF BEND DR,Collector,10014,10017,37,199,0.14,C,2020 Data
5062706,EPIC KNOLL DR,MATTHEW ST,LITTLE THEATER BND,Residential,10016,10028,30,160,0.09,D,2022 Data
3272901,LAKE CREEK PKWY,10016,10038,Collector,10016,10038,33,384,0.24,A,2020 Data
2042501,MORGAN CREEK DR,BELFIN DR,FISHER ISLAND DR,Collector,10016,10023,37,304,0.21,B,2020 Data
2028139,WILD DUNES DR,JUPITER HILLS DR,WILD DUNES CT,Residential,10016,10035,27.1,549,0.28,A,2022 Data
3272903,LAKE CREEK PKWY,10017,10039,Collector,10017,10039,33,394,0.25,C,2020 Data
2012503,CHILDRESS DR,BLUFF BEND DR,HAMPSHIRE DR,Collector,10018,10029,37,316,0.22,C,2020 Data
5117780,OLD LOCKHART RD,10020,GERTRUDIS LOOP,Collector,10020,10049,24.1,424,0.19,B,2022 Data
2045249,WIND CAVE TRL,VOYAGEURS LN,MINUTE MAN PASS,Residential,10020,10033,27,157,0.08,A,2022 Data
2046962,JOLLYVILLE RD,GREAT HILLS TRL,BRAKER LN W,Arterial,10021,10727,57,2440,2.59,A,2020 Data
2036827,MORGAN CREEK DR,FISHER ISLAND DR,WHISTLING STRAITS DR,Collector,10024,10033,37,217,0.15,C,2020 Data
3350052,WADING POOL PATH,MIDDLEFIELD CT,MEADOWSOUTH LN,Residential,10026,10049,28,280,0.15,B,2022 Data
2007154,WOODLAND VILLAGE DR,EGRET CIR,WOOD IBIS CIR,Residential,10028,10036,41,306,0.24,B,2020 Data
2031954,CHILDRESS DR,HAMPSHIRE DR,10032,Collector,10030,10035,37,281,0.2,C,2020 Data
3540893,DEER CHASE TRL,ARBOR HILLS LN,10024,Residential,10032,10033,27,54,0.07,A,2022 Data
2007162,WOODLAND VILLAGE DR,WOOD IBIS CIR,HYMEADOW DR,Residential,10033,10040,41,154,0.12,B,2020 Data
5102911,LAKELINE MALL DR,LYNDHURST ST,CIBOLO TRCE,Collector,10037,10237,44,1010,0.84,C,2020 Data
2007187,WOODLAND VILLAGE DR,HYMEADOW DR,BLUE MARTIN DR,Residential,10037,10050,41,288,0.22,B,2020 Data
3272902,LAKE CREEK PKWY,10040,10114,Collector,10040,10114,33,993,0.62,D,2020 Data
3272904,LAKE CREEK PKWY,10041,10113,Collector,10041,10113,33,1024,0.64,B,2020 Data
2007214,WOODLAND VILLAGE DR,BLUE MARTIN DR,WAXWING CIR,Residential,10041,10056,41,369,0.21,B,2020 Data
2010841,FAYLIN DR,WERNER HILL DR,MEADOWMEAR DR,Residential,10050,10063,37,278,0.19,A,2020 Data
3325186,OLD LOCKHART RD,GERTRUDIS LOOP,RUBY HILLS RD,Collector,10050,10109,24.1,468,0.21,C,2022 Data
2012879,PLANTERS WOODS DR,SCULL CREEK DR,BIG VIEW DR,Residential,10050,10059,25,209,0.1,C,2021 Data
2007237,WOODLAND VILLAGE DR,WAXWING CIR,ROBIN RIDGE LN,Residential,10051,10060,41,284,0.22,A,2020 Data
2007252,WOODLAND VILLAGE DR,ROBIN RIDGE LN,SWALLOW DR,Residential,10061,10065,41,198,0.15,A,2020 Data
2007256,WOODLAND VILLAGE DR,SWALLOW DR,SCISSORTAIL DR,Residential,10066,10071,41,157,0.12,A,2020 Data
2007284,WOODLAND VILLAGE DR,SCISSORTAIL DR,SWAN DR,Residential,10068,10111,41,609,0.47,B,2020 Data
2035658,CHESTNUT RIDGE RD,BOULDER LN,DARK STAR TER,Residential,10093,10121,27.1,473,0.24,B,2020 Data
