Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
DEARBONNE DR,2036639,FELLER CV,JUSTICE DR,"2019-09-19, 2019-09-19","LUSLCT6, LUSLCT6",,,,,1.0,1.0,,,,DEARBONNE DR,,DEARBONNE DR,DEARBONNE DR,,,,FELLER CV,,FELLER CV,FELLER CV,,,,JUSTICE DR,,JUSTICE DR,JUSTICE DR,,,,Residential,,Residential,Residential,,,,D,,C,C,,,,2022 Data,,,,,,,,,DEARBONNE DR,DEARBONNE DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,1786,0.0
DEATONHILL DR,2024890,LANCRET HILL DR,WILLIAM CANNON DR W,"2017-05-30, 2017-05-30","SLCT5, SLCT5",,,,,0.0,0.0,,,,DEATONHILL DR,,DEATONHILL DR,DEATONHILL DR,,,,LANCRET HILL DR,,LANCRET HILL DR,LANCRET HILL DR,,,,WILLIAM CANNON DR W,,WILLIAM CANNON DR W,WILLIAM CANNON DR W,,,,Collector,,Collector,Collector,,,,D,,D,D,,,,2022 Data,,,,,,,,,DEATONHILL DR,DEATONHILL DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2628,0.0
DEE ST,2025528,MATTHEWS LN,COGBILL ST,2017-10-09,CRCKSL,,,,,1.0,1.0,,,,DEE ST,,DEE ST,DEE ST,,,,MATTHEWS LN,,MATTHEWS LN,MATTHEWS LN,,,,COGBILL ST,,COGBILL ST,COGBILL ST,,,,Residential,,Residential,Residential,,,,D,,C,C,,,,2022 Data,,,,,,,,,DEE ST,DEE ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2496,
DEER CHASE TRL,3188650,KELBERG TRL,SILVER SCREEN DR,"2017-08-01, 2017-08-01, 2017-08-01, 2017-08-01, 2018-03-21, 2018-03-21, 2018-03-21, 2019-11-25, 2019-11-25, 2019-11-25, 2019-11-25","SLCT5, SLCT5, SLCT5, SLCT5, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,0.0,0.0,,,,DEER CHASE TRL,,DEER CHASE TRL,DEER CHASE TRL,,,,KELBERG TRL,,KELBERG TRL,KELBERG TRL,,,,SILVER SCREEN DR,,SILVER SCREEN DR,SILVER SCREEN DR,,,,Collector,,Collector,Collector,,,,F,,F,F,,,,2022 Data,,,,,,,,,DEER CHASE TRL,DEER CHASE TRL,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,11,1719,84.6
DEER LN,2025382,4206,4312,"2019-08-02, 2019-08-02, 2019-08-02, 2019-08-02, 2019-08-02, 2019-08-02","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,DEER LN,,DEER LN,DEER LN,,,,4206,,4206,4206,,,,4312,,4312,4312,,,,Collector,,Collector,Collector,,,,C,,C,C,,,,2022 Data,,,,,,,,,DEER LN,DEER LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,6,1834,0.0
DEER TRACK,2039022,MAVERICK DR,MUSTANG CHASE,"2018-03-20, 2019-10-31, 2019-10-31","PMOL, PMOL, PMOL",0.0,,,,,,,DEER TRACK,DEER TRACK,,,,,,MAVERICK DR,MAVERICK DR,,,,,,MUSTANG CHASE,MUSTANG CHASE,,,,,,Residential,Residential,,,,,,D,C,,,,,,,2020 Data,,,,,,DEER TRACK,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,1744,295.0
DEL CARMEN CV,2031048,SPICEWOOD MESA,8511,2016-10-25,CRCKSL,1.0,,,,,,,DEL CARMEN CV,DEL CARMEN CV,,,,,,SPICEWOOD MESA,SPICEWOOD MESA,,,,,,8511,8511,,,,,,Residential,Residential,,,,,,B,D,,,,,,,2020 Data,,,,,,DEL CARMEN CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2845,
DEL CURTO RD,2023826,BLUEBONNET LN,VILLAGE OAK CT,2020-02-29,PMOL,,,,,0.0,0.0,,,,,DEL CURTO RD,DEL CURTO RD,DEL CURTO RD,,,,,BLUEBONNET LN,BLUEBONNET LN,BLUEBONNET LN,,,,,VILLAGE OAK CT,VILLAGE OAK CT,VILLAGE OAK CT,,,,,Collector,Collector,Collector,,,,,F,F,F,,,,,2021 Data,,,,,,,,DEL CURTO RD,DEL CURTO RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1623,
DEL MESA LN,2031036,8501,SPICEWOOD MESA,"2016-10-27, 2016-10-27","CRCKSL, CRCKSL",1.0,,,,,,,DEL MESA LN,DEL MESA LN,,,,,,8501,8501,,,,,,SPICEWOOD MESA,SPICEWOOD MESA,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,DEL MESA LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2843,0.0
DEL ROBLES,2030491,3401,EL CAMINO RD,2018-11-29,CRCKSL,1.0,,,,,,,DEL ROBLES,DEL ROBLES,,,,,,3401,3401,,,,,,EL CAMINO RD,EL CAMINO RD,,,,,,Residential,Residential,,,,,,B,F,,,,,,,2020 Data,,,,,,DEL ROBLES,,,,,,,Dead End,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2080,
DELAWARE CT,2031780,FAIRFIELD DR,8612,2017-08-08,SLCT6,1.0,,,,,,,DELAWARE CT,DELAWARE CT,,,,,,FAIRFIELD DR,FAIRFIELD DR,,,,,,8612,8612,,,,,,Residential,Residential,,,,,,B,C,,,,,,,2020 Data,,,,,,DELAWARE CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2558,
DELLREY DR,2006329,LEEANN DR,PIPERS FIELD DR,"2018-07-23, 2018-07-23","SLCT6, SLCT6",1.0,,,,,,,DELLREY DR,DELLREY DR,,,,,,LEEANN DR,LEEANN DR,,,,,,PIPERS FIELD DR,PIPERS FIELD DR,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,DELLREY DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2209,0.0
DELMONICO DR,2008241,LOST HORIZON DR,SALVIA CV,"2019-06-18, 2019-06-18","SLCT6, SLCT6",1.0,,,,,,,DELMONICO DR,DELMONICO DR,,,,,,LOST HORIZON DR,LOST HORIZON DR,,,,,,SALVIA CV,SALVIA CV,,,,,,Residential,Residential,,,,,,B,B,,,,,,,2020 Data,,,,,,DELMONICO DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1879,0.0
DELORES AVE,2041071,MASON AVE,SHUBERG ST,"2018-04-20, 2018-04-20, 2018-04-20, 2018-04-20, 2018-10-02, 2018-10-02, 2018-10-02, 2018-10-02, 2018-10-02, 2018-10-02","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,DELORES AVE,,,DELORES AVE,,,,MASON AVE,,,MASON AVE,,,,SHUBERG ST,,,SHUBERG ST,,,,Collector,,,Collector,,,,C,,,D,,,,,,,2021 Data,,,,DELORES AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,10,2138,18.333333333333332
DELWAU LN,2041199,SHELTON RD,8400,2018-10-04,CRCKSL,1.0,,,,,,,DELWAU LN,,,DELWAU LN,,,,SHELTON RD,,,SHELTON RD,,,,8400,,,8400,,,,Collector,,,Collector,,,,C,,,C,,,,,,,2021 Data,,,,DELWAU LN,,,,,,,Driveway,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2136,
DENELL CIR,2039819,WALNUT BEND DR,10638,2019-07-17,SLCT6,1.0,,,,,,,DENELL CIR,DENELL CIR,,,,,,WALNUT BEND DR,WALNUT BEND DR,,,,,,10638,10638,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,DENELL CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1850,
DERBY CV,2033050,WHELESS LN,6106,2019-06-03,FSMOL,1.0,,,,,,,DERBY CV,,,DERBY CV,,,,WHELESS LN,,,WHELESS LN,,,,6106,,,6106,,,,Residential,,,Residential,,,,C,,,D,,,,,,,2021 Data,,,,DERBY CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1894,
DERBY DOWNS DR,3214945,MILTON LEASE DR,EDMUNDSBURY DR,2016-10-06,SLURRY,,,,,1.0,1.0,,,,DERBY DOWNS DR,,DERBY DOWNS DR,DERBY DOWNS DR,,,,MILTON LEASE DR,,MILTON LEASE DR,MILTON LEASE DR,,,,EDMUNDSBURY DR,,EDMUNDSBURY DR,EDMUNDSBURY DR,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,DERBY DOWNS DR,DERBY DOWNS DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2864,
DERRINGER TRL,2010550,ANNIE OAKLEY TRL,DIAMONDBACK TRL,"2018-08-16, 2018-08-16","SLCT6, SLCT6",1.0,,,,,,,DERRINGER TRL,DERRINGER TRL,,,,,,ANNIE OAKLEY TRL,ANNIE OAKLEY TRL,,,,,,DIAMONDBACK TRL,DIAMONDBACK TRL,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,DERRINGER TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2185,0.0
DESCO DR,2028037,RAVENSCROFT DR,PICKARD LN,2018-05-29,SLCT6,,,,,1.0,1.0,,,,DESCO DR,,DESCO DR,DESCO DR,,,,RAVENSCROFT DR,,RAVENSCROFT DR,RAVENSCROFT DR,,,,PICKARD LN,,PICKARD LN,PICKARD LN,,,,Residential,,Residential,Residential,,,,C,,C,C,,,,2022 Data,,,,,,,,,DESCO DR,DESCO DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2264,
DESERT PRIMROSE DR,3266809,DESERT WILLOW LOOP,S 1ST ST,"2018-05-29, 2018-05-29","SLCT6, SLCT6",,,,,1.0,1.0,,,,DESERT PRIMROSE DR,,DESERT PRIMROSE DR,DESERT PRIMROSE DR,,,,DESERT WILLOW LOOP,,DESERT WILLOW LOOP,DESERT WILLOW LOOP,,,,S 1ST ST,,S 1ST ST,S 1ST ST,,,,Residential,,Residential,Residential,,,,B,,B,C,,,,2022 Data,,,,,,,,,DESERT PRIMROSE DR,DESERT PRIMROSE DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2264,0.0
DESERT WILLOW LOOP,3266658,DESERT PRIMROSE DR,ROSE MALLOW WAY,"2018-05-25, 2018-05-25, 2018-05-25, 2018-05-25, 2018-05-25","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,DESERT WILLOW LOOP,,DESERT WILLOW LOOP,DESERT WILLOW LOOP,,,,DESERT PRIMROSE DR,,DESERT PRIMROSE DR,DESERT PRIMROSE DR,,,,ROSE MALLOW WAY,,ROSE MALLOW WAY,ROSE MALLOW WAY,,,,Residential,,Residential,Residential,,,,B,,B,A,,,,2022 Data,,,,,,,,,DESERT WILLOW LOOP,DESERT WILLOW LOOP,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,2268,0.0
DESSAU RD,2006510,HOWARD LN E,13522,"2018-05-08, 2018-05-08, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2018-08-29, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18, 2019-03-18","FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL",0.0,,,,,,,DESSAU RD,DESSAU RD,,,,,,HOWARD LN E,HOWARD LN E,,,,,,13522,13522,,,,,,Arterial,Arterial,,,,,,D,B,,,,,,,2020 Data,,,,,,DESSAU RD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,46,1971,6.977777777777778
DIAMONDBACK TRL,2010562,GARRETT RUN E,DERRINGER TRL,"2018-08-20, 2018-08-20, 2018-08-20","SLCT6, SLCT6, SLCT6",1.0,,,,,,,DIAMONDBACK TRL,DIAMONDBACK TRL,,,,,,GARRETT RUN E,GARRETT RUN E,,,,,,DERRINGER TRL,DERRINGER TRL,,,,,,Collector,Collector,,,,,,C,B,,,,,,,2020 Data,,,,,,DIAMONDBACK TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2181,0.0
DIANE DR,2034347,4401,REDD ST,2017-06-08,SLCT6,,,,,1.0,1.0,,,,DIANE DR,,DIANE DR,DIANE DR,,,,4401,,4401,4401,,,,REDD ST,,REDD ST,REDD ST,,,,Residential,,Residential,Residential,,,,B,,B,C,,,,2022 Data,,,,,,,,,DIANE DR,DIANE DR,,,,,,Dead End,Dead End,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2619,
DICKSON DR,2034795,LAMAR BLVD S,2207,2018-12-14,PMOL,,,,,0.0,0.0,,,,,DICKSON DR,DICKSON DR,DICKSON DR,,,,,LAMAR BLVD S,LAMAR BLVD S,LAMAR BLVD S,,,,,2207,2207,2207,,,,,Residential,Residential,Residential,,,,,C,D,D,,,,,2021 Data,,,,,,,,DICKSON DR,DICKSON DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2065,
DILLIONHILL DR,2041767,WEST GATE BLVD,SISSINGHURST DR,2017-05-25,SLCT6,,,,,1.0,0.0,,,,DILLIONHILL DR,,DILLIONHILL DR,DILLIONHILL DR,,,,WEST GATE BLVD,,WEST GATE BLVD,WEST GATE BLVD,,,,SISSINGHURST DR,,SISSINGHURST DR,SISSINGHURST DR,,,,Residential,,Residential,Residential,,,,D,,B,D,,,,2022 Data,,,,,,,,,DILLIONHILL DR,DILLIONHILL DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2633,
DIMITRIOS DR,3217094,ZACHARY SCOTT ST,DE,"2019-11-25, 2019-11-25, 2019-11-25, 2019-11-25, 2019-11-25","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,DIMITRIOS DR,,DIMITRIOS DR,DIMITRIOS DR,,,,ZACHARY SCOTT ST,,ZACHARY SCOTT ST,ZACHARY SCOTT ST,,,,DE,,DE,DE,,,,Residential,,Residential,Residential,,,,B,,C,C,,,,2022 Data,,,,,,,,,DIMITRIOS DR,DIMITRIOS DR,,,,,,Dead End,Dead End,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,1719,0.0
DINK PEARSON LN,3426495,DOUBLE EAGLE PASS,PAULINES WAY,2018-03-15,CRCKSL,1.0,,,,,,,DINK PEARSON LN,DINK PEARSON LN,,,,,,DOUBLE EAGLE PASS,DOUBLE EAGLE PASS,,,,,,PAULINES WAY,PAULINES WAY,,,,,,Residential,Residential,,,,,,B,A,,,,,,,2020 Data,,,,,,DINK PEARSON LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2339,
DIRECTORS BLVD,2037777,I 35 SVC RD NB  S,GOVERNORS ROW,"2019-08-29, 2019-08-29, 2019-08-29, 2019-08-29","PMOL, PMOL, PMOL, PMOL",,,,,0.0,0.0,,,,DIRECTORS BLVD,,DIRECTORS BLVD,DIRECTORS BLVD,,,,I 35 SVC RD NB  S,,I 35 SVC RD NB  S,I 35 SVC RD NB  S,,,,GOVERNORS ROW,,GOVERNORS ROW,GOVERNORS ROW,,,,Collector,,Collector,Collector,,,,B,,D,D,,,,2022 Data,,,,,,,,,DIRECTORS BLVD,DIRECTORS BLVD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,4,1807,0.0
DITTMAR RD E,2025785,CONGRESS AVE S,CIRCLE S RD,2018-10-02,CRCKSL,,,,,0.0,0.0,,,,DITTMAR RD E,,DITTMAR RD E,DITTMAR RD E,,,,CONGRESS AVE S,,CONGRESS AVE S,CONGRESS AVE S,,,,CIRCLE S RD,,CIRCLE S RD,CIRCLE S RD,,,,Collector,,Collector,Collector,,,,F,,D,D,,,,2022 Data,,,,,,,,,E DITTMAR RD,E DITTMAR RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2138,
DITTMAR RD W,2042048,CONGRESS AVE S,LOGANBERRY DR,"2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14, 2018-11-14","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,0.0,1.0,,,,DITTMAR RD W,,DITTMAR RD W,DITTMAR RD W,,,,CONGRESS AVE S,,CONGRESS AVE S,CONGRESS AVE S,,,,LOGANBERRY DR,,LOGANBERRY DR,LOGANBERRY DR,,,,Collector,,Collector,Collector,,,,D,,D,C,,,,2022 Data,,,,,,,,,W DITTMAR RD,W DITTMAR RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,20,2095,0.0
DIWA CV,2037173,CUL DE SAC,GILWELL DR,2019-09-12,LUSLCT6,,,,,0.0,0.0,,,,DIWA CV,,DIWA CV,DIWA CV,,,,CUL DE SAC,,CUL DE SAC,CUL DE SAC,,,,GILWELL DR,,GILWELL DR,GILWELL DR,,,,Residential,,Residential,Residential,,,,F,,D,D,,,,2022 Data,,,,,,,,,DIWA CV,DIWA CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1793,
DOBIE DR,2010992,POINT VISTA PL,ABERDEEN WAY,2018-08-08,SLCT6,1.0,,,,,,,DOBIE DR,DOBIE DR,,,,,,POINT VISTA PL,POINT VISTA PL,,,,,,ABERDEEN WAY,ABERDEEN WAY,,,,,,Residential,Residential,,,,,,B,B,,,,,,,2020 Data,,,,,,DOBIE DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2193,
DOC HOLLIDAY TRL,2010454,GEORGIAN DR,ANNIE OAKLEY TRL,"2018-08-23, 2018-08-23, 2018-08-23, 2018-08-23","SLCT6, SLCT6, SLCT6, SLCT6",1.0,,,,,,,DOC HOLLIDAY TRL,DOC HOLLIDAY TRL,,,,,,GEORGIAN DR,GEORGIAN DR,,,,,,ANNIE OAKLEY TRL,ANNIE OAKLEY TRL,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,DOC HOLLIDAY TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,2178,0.0
DOE VALLEY LN,2012698,COUNTRY CANYON CV,ECHO POINT CV,"2018-06-09, 2018-06-09, 2018-06-09, 2018-06-09, 2018-06-09, 2018-06-09","PMOL, PMOL, PMOL, PMOL, PMOL, PMOL",1.0,,,,,,,DOE VALLEY LN,DOE VALLEY LN,,,,,,COUNTRY CANYON CV,COUNTRY CANYON CV,,,,,,ECHO POINT CV,ECHO POINT CV,,,,,,Residential,Residential,,,,,,C,A,,,,,,,2020 Data,,,,,,DOE VALLEY LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,6,2253,0.0
DOLIVER DR,2034699,CROWNSPOINT DR,9513,"2018-06-06, 2018-06-06","SLCT6, SLCT6",,,,,1.0,0.0,,,,DOLIVER DR,,DOLIVER DR,DOLIVER DR,,,,CROWNSPOINT DR,,CROWNSPOINT DR,CROWNSPOINT DR,,,,9513,,9513,9513,,,,Residential,,Residential,Residential,,,,C,,B,F,,,,2022 Data,,,,,,,,,DOLIVER DR,DOLIVER DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2256,0.0
DONAHUE LN,2041863,PEPPER LN,TERI RD,2016-10-05,SLURRY,,,,,1.0,1.0,,,,DONAHUE LN,,DONAHUE LN,DONAHUE LN,,,,PEPPER LN,,PEPPER LN,PEPPER LN,,,,TERI RD,,TERI RD,TERI RD,,,,Residential,,Residential,Residential,,,,B,,C,B,,,,2022 Data,,,,,,,,,DONAHUE LN,DONAHUE LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2865,
DONEGAL RD,2034426,6901,ROBERT BURNS DR,2016-10-04,SLURRY,,,,,1.0,1.0,,,,DONEGAL RD,,DONEGAL RD,DONEGAL RD,,,,6901,,6901,6901,,,,ROBERT BURNS DR,,ROBERT BURNS DR,ROBERT BURNS DR,,,,Residential,,Residential,Residential,,,,D,,B,B,,,,2022 Data,,,,,,,,,DONEGAL RD,DONEGAL RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2866,
DONOVAN CIR,2035999,ZELLER LN,ZELLER LN,2017-09-06,SLCT6,1.0,,,,,,,DONOVAN CIR,DONOVAN CIR,,,,,,ZELLER LN,ZELLER LN,,,,,,ZELLER LN,ZELLER LN,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,DONOVAN CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2529,
DOONE VALLEY CT,2032253,UPVALLEY RUN,5918,2018-05-17,SLCT6,1.0,,,,,,,DOONE VALLEY CT,DOONE VALLEY CT,,,,,,UPVALLEY RUN,UPVALLEY RUN,,,,,,5918,5918,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,DOONE VALLEY CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2276,
DORSEN DR,3315520,CHERISSE DR,ALOPHIA DR,2019-07-24,SLCT6,,,,,1.0,1.0,,,,DORSEN DR,,DORSEN DR,DORSEN DR,,,,CHERISSE DR,,CHERISSE DR,CHERISSE DR,,,,ALOPHIA DR,,ALOPHIA DR,ALOPHIA DR,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,DORSEN DR,DORSEN DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1843,
DORSET DR,2012521,CHILDRESS DR,BARRINGTON DR,2018-08-01,SLCT6,0.0,,,,,,,DORSET DR,DORSET DR,,,,,,CHILDRESS DR,CHILDRESS DR,,,,,,BARRINGTON DR,BARRINGTON DR,,,,,,Residential,Residential,,,,,,D,B,,,,,,,2020 Data,,,,,,DORSET DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2200,
