Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
ABERVIL TRL,3524004,STAKED PLAINS DR,NICOLET WAY,"2018-03-12, 2018-03-12, 2018-03-12","CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,ABERVIL TRL,ABERVIL TRL,,,,,,STAKED PLAINS DR,STAKED PLAINS DR,,,,,,NICOLET WAY,NICOLET WAY,,,,,,Residential,Residential,,,,,,B,C,,,,,,,2020 Data,,,,,,ABERVIL TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2342,0.0
ABINGDON PL,2015872,WESTMOOR DR,LUDLOW TER,2019-02-11,PMOL,1.0,,,,,,,ABINGDON PL,,,ABINGDON PL,,,,WESTMOOR DR,,,WESTMOOR DR,,,,LUDLOW TER,,,LUDLOW TER,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,ABINGDON PL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2006,
ACE PASS,2030617,TOMANET TRL,2407,2018-07-21,SLCT6,1.0,,,,,,,ACE PASS,ACE PASS,,,,,,TOMANET TRL,TOMANET TRL,,,,,,2407,2407,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,ACE PASS,,,,,,,Dead End,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2211,
ACORN CREEK TRL,2007072,GREY ROCK LN,LAKE CREEK PKWY,"2019-06-03, 2019-06-03, 2019-06-03","SLCT6, SLCT6, SLCT6",1.0,,,,,,,ACORN CREEK TRL,ACORN CREEK TRL,,,,,,GREY ROCK LN,GREY ROCK LN,,,,,,LAKE CREEK PKWY,LAKE CREEK PKWY,,,,,,Residential,Residential,,,,,,B,B,,,,,,,2020 Data,,,,,,ACORN CREEK TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,1894,0.0
ACORN GROVE CT,2034159,LARK CREEK DR,5009,2016-10-06,SLURRY,,,,,0.0,0.0,,,,ACORN GROVE CT,,ACORN GROVE CT,ACORN GROVE CT,,,,LARK CREEK DR,,LARK CREEK DR,LARK CREEK DR,,,,5009,,5009,5009,,,,Residential,,Residential,Residential,,,,F,,D,D,,,,2022 Data,,,,,,,,,ACORN GROVE CT,ACORN GROVE CT,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2864,
ACROPOLIS CT,2006332,ALPHEUS AVE,WHISPERING VALLEY DR,2018-06-21,SLCT6,1.0,,,,,,,ACROPOLIS CT,ACROPOLIS CT,,,,,,ALPHEUS AVE,ALPHEUS AVE,,,,,,WHISPERING VALLEY DR,WHISPERING VALLEY DR,,,,,,Residential,Residential,,,,,,C,A,,,,,,,2020 Data,,,,,,ACROPOLIS CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2241,
ADAIR CV,5062074,ADAIR DR,CUL DE SAC,2018-03-19,CRCKSL,0.0,,,,,,,ADAIR CV,ADAIR CV,,,,,,ADAIR DR,ADAIR DR,,,,,,CUL DE SAC,CUL DE SAC,,,,,,Residential,Residential,,,,,,D,D,,,,,,,2020 Data,,,,,,ADAIR CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2335,
ADAIR DR,3499678,CULLODEN DR,MACIVER DR,"2018-03-19, 2018-03-19, 2018-03-19, 2018-03-19, 2018-03-19, 2018-03-19, 2018-03-19, 2018-03-19","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",0.0,,,,,,,ADAIR DR,ADAIR DR,,,,,,CULLODEN DR,CULLODEN DR,,,,,,MACIVER DR,MACIVER DR,,,,,,Residential,Residential,,,,,,D,C,,,,,,,2020 Data,,,,,,ADAIR DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,8,2335,0.0
ADALEE AVE,2016028,MANOR RD,VERNON AVE,2019-04-22,PMOL,0.0,,,,,,,ADALEE AVE,,,ADALEE AVE,,,,MANOR RD,,,MANOR RD,,,,VERNON AVE,,,VERNON AVE,,,,Residential,,,Residential,,,,D,,,C,,,,,,,2021 Data,,,,ADALEE AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1936,
ADDISON AVE,2011430,JOYCE ST,VINE ST,2019-03-02,PMOL,1.0,,,,,,,ADDISON AVE,ADDISON AVE,,,,,,JOYCE ST,JOYCE ST,,,,,,VINE ST,VINE ST,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,ADDISON AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1987,
